ROADNAME,LOCATION,FEATURE ID,ASSET TYPE,Column Material                                  ,Feature Type,Lantern Manufacturer                             ,LAMP TYPE,LAMP WATTAGE,Dimming Classification                           ,CONDITION,ELIGIBLE Supply,TOWN,WARD,Mounting Height                                  ,POSTCODE
DUDLEY ROAD,UNASSIGNED,COL/081/050/0005,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Irlam,Cadishead Ward,8m,M44 5ED
CHADDOCK LANE,OPPOSITE 178,COL/400/002/0019,Lighting Column 10m,Steel,SL - Column,Philips,Low P Sodium (Economy),91 watts,,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,10m,M44 5EF
ELM CRESCENT,ROAD AT OR OUTSIDE 12/14,COL/015/003/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,6m,M44 5ES
ELM CRESCENT,ROAD AT OR OUTSIDE 6/8,COL/015/003/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,72 Watts,Dimmed to 75%,Level 1 (Good),Yes,Worsley,Worsley Ward,6m,M44 5FD
BARCLAY DRIVE,UNASSIGNED,COL/065/010/0009,Lighting Column 5m,Concrete,SL - Column,Thorn,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M44 5YA
CASTLEWAY,UNASSIGNED,COL/061/003/0003,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 6,Langworthy Ward,5m,M44 5EF
ELM GROVE,UNASSIGNED,COL/018/019/0001,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Worsley,Swinton North Ward,5m,M44 5FD
CASTLEWAY,ROAD AT OR OUTSIDE 48 CASTLEWAY,COL/021/023/0011,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5ES
ELM STREET,ROAD SIDE OF 333 CHORLEY ROAD,COL/017/009/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Swinton North Ward,6m,M44 5FD
ELM STREET,ROAD SIDE OF FAULKNER HOUSE RUTLAND STREET,COL/017/009/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Swinton,Swinton North Ward,6m,M44 5FD
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0005,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5UG
GOODIERS DRIVE,ROAD REAR OF 89/91,COL/047/024/0024C,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5HJ
BARCLAY DRIVE,UNASSIGNED,COL/065/010/0010,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Eccles Ward,5m,M44 5YA
CASTLEWAY,ROAD AT OR OUTSIDE 17/19 CASTLEWAY,COL/021/023/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5EF
CASTLEWAY,UNASSIGNED,COL/061/003/0010,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 6,Langworthy Ward,5m,M44 5EF
ELM CRESCENT,ROAD SIDE OF 2,COL/015/003/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,6m,M44 5FD
ELM CRESCENT,ROAD SIDE OF 8 HAWTHORNE DRIVE,COL/015/003/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,43 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Worsley Ward,6m,M44 5FD
CASTLEWAY,ROAD AT OR OUTSIDE 27 CASTLEWAY,COL/021/023/0007,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5EF
ELM GROVE,UNASSIGNED,COL/018/019/0002,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 2,Yes,Worsley,Swinton North Ward,5m,M44 5FD
ELM STREET,ROAD SIDE OF 94 STATION ROAD,COL/071/052/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M44 5FD
CASTLEWAY,ROAD AT OR OUTSIDE 47/49  CASTLEWAY,COL/021/023/0009,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5EF
ELM STREET,UNASSIGNED,SGN/071/052/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M44 5FD
CRESCENT,CENT.RES.OPP.CRESCENT HOUSE,COL/200/023/0012,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5AQ
CASTLEWAY,ROAD AT OR OUTSIDE 24 CASTLEWAY,COL/021/023/0006,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5FE
CASTLEWAY,ROAD AT OR OUTSIDE 31 CASTLEWAY,COL/021/023/0008,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5FE
CASTLEWAY,ROAD AT OR OUTSIDE 57/59 CASTLEWAY,COL/021/023/0010,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Swinton,Pendlebury Ward,6m,M44 5FE
CASTLEWAY,UNASSIGNED,COL/061/003/0001,LED Lighting Column 5m,Steel,SL - Column (LED),Thorn,LED Street Light,41 watts,Dimmed to 76%,Level 1 (Good),Yes,Salford 6,Langworthy Ward,5m,M44 5EH
CHELTENHAM STREET,UNASSIGNED,COL/043/049/0004,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Salford 6,Irwell Riverside Ward,8m,M44 5DY
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0005,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,6m,M44 5DT
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0004,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5DT
ENVILLE ROAD,UNASSIGNED,COL/027/036/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Irwell Riverside Ward,6m,M44 5HD
GOODIERS DRIVE,ROAD REAR OF 69/71,COL/047/024/0024B,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5EH
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5UG
ENVILLE ROAD,UNASSIGNED,COL/027/036/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Irwell Riverside Ward,6m,M44 5HH
ENTWISLE STREET,UNASSIGNED,COL/018/008/0006,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Swinton,Swinton North Ward,6m,M44 5HD
CRESCENT,UNASSIGNED,SGN/200/023/0011-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AG
CHELTENHAM STREET,UNASSIGNED,SGN/043/049/0002-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Irwell Riverside Ward,,M44 5DZ
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0005,Lighting Column 6m,Concrete,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 2,Yes,Worsley,Walkden North Ward,6m,M44 5DT
BRAKESMERE GROVE,UNASSIGNED,COL/004/003/0002,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Worsley,Little Hulton Ward,5m,M44 5FG
ENTWISLE STREET,UNASSIGNED,COL/018/008/0005,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Swinton,Swinton North Ward,6m,M44 5HD
GOODIERS DRIVE,ROAD REAR OF 77/79,COL/047/024/0024A,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5FF
CHELTENHAM STREET,UNASSIGNED,COL/043/049/0003,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Salford 6,Irwell Riverside Ward,8m,M44 5DY
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5DT
CRESCENT,CENT.RES.OPP.CRESCENT HOUSE,COL/200/023/0011,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5AQ
ENTWISLE STREET,UNASSIGNED,COL/018/008/0004,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Swinton,Swinton North Ward,6m,M44 5HH
BRAKESMERE GROVE,UNASSIGNED,COL/004/003/0001,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Little Hulton Ward,5m,M44 5FG
CHELTENHAM STREET,UNASSIGNED,SGN/043/049/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 6,Irwell Riverside Ward,,M44 5DZ
ENTWISLE STREET,UNASSIGNED,COL/018/008/0003,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Swinton,Swinton North Ward,6m,M44 5HD
GOODIERS DRIVE,ROAD BETWEEN 75/77,COL/047/024/0024,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5FF
CHARLTON AVENUE,ROAD AT OR OUTSIDE 41/43,COL/071/032/0007,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,38 watts,Dimmed to 77%,Level 1 (Good),Yes,Eccles,Barton Ward,6m,M44 5FP
GILLINGHAM ROAD,UNASSIGNED,COL/074/012/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5DX
BRIDGEWATER STREET,UNASSIGNED,SGN/008/037/0004-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden North Ward,,M44 5DT
ALBION WAY,UNASSIGNED,COL/200/030/0047AB,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,Level 4,Yes,Salford 5,Langworthy Ward,12m,M44 5FA
DUNEDIN DRIVE,UNASSIGNED,COL/028/015/0012,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 1 (Good),Yes,Salford 6,Irwell Riverside Ward,6m,M44 5EN
ALBION WAY,UNASSIGNED,COL/200/030/0048,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,Level 4,Yes,Salford 5,Langworthy Ward,12m,M44 5FA
CHELTENHAM STREET,UNASSIGNED,COL/043/049/0002,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 3,Yes,Salford 6,Irwell Riverside Ward,8m,M44 5DY
ALDER DRIVE,UNASSIGNED,COL/018/028/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Worsley,Swinton North Ward,6m,M44 5FA
GOODIERS DRIVE,ROAD FACING 65/67,COL/047/024/0023,Lighting Column 5m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,5m,M44 5FF
CRESCENT,UNASSIGNED,SGN/200/023/0010-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5ZF
CHELTENHAM STREET,UNASSIGNED,COL/043/049/0001,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,81 watts,Dimmed to 72%,Level 2,Yes,Salford 6,Irwell Riverside Ward,8m,M44 5DZ
ENTWISLE STREET,UNASSIGNED,COL/018/008/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Swinton,Swinton North Ward,6m,M44 5HD
ALDER DRIVE,UNASSIGNED,COL/018/028/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Worsley,Swinton North Ward,6m,M44 5FA
ALBION WAY,UNASSIGNED,COL/200/030/0045,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,Level 4,Yes,Salford 5,Langworthy Ward,12m,M44 5FA
GILLERS GREEN,ROAD OPPOSITE 19,COL/003/044/0006,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5DT
BRIDGEWATER STREET,OPPOSITE 26 - 36,COL/072/025/0004,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M44 5DT
DUNEDIN DRIVE,UNASSIGNED,COL/028/015/0013,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Irwell Riverside Ward,6m,M44 5EN
GOODIERS DRIVE,ROAD FACING BEMSLEY PLACE,COL/047/024/0022,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M44 5EH
ALDER DRIVE,UNASSIGNED,COL/018/028/0003,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 1 (Good),Yes,Worsley,Swinton North Ward,6m,M44 5FA
GILLERS GREEN,ROAD BETWEEN 11/13,COL/003/044/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5FA
ALBION WAY,UNASSIGNED,COL/200/030/0042,Lighting Column 12m,Steel,SL - Column,Aquila,High P Sodium (T+),250 watts,,Level 4,Yes,Salford 5,Ordsall Ward,12m,M44 5FA
ENTWISLE STREET,UNASSIGNED,COL/018/008/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,28 watts,Dimmed to 78%,Level 2,Yes,Swinton,Swinton North Ward,6m,M44 5HD
CHAPEL ROAD,UNASSIGNED,COL/078/027/0002,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 2,Yes,Irlam,Irlam Ward,5m,M44 5HB
CHAPEL ROAD,UNASSIGNED,COL/015/043/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 3,Yes,Swinton,Worsley Ward,6m,M44 5HA
CHELTENHAM CRESCENT,UNASSIGNED,COL/034/002/0005,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 7,Kersal Ward,6m,M44 5DY
CRESCENT,CENT.RES.JCT. HULME PLACE,COL/200/023/0010,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5AG
BRIDGEWATER STREET,UNASSIGNED,COL/040/012/0004,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,56 watts,Dimmed to 73%,Level 1 (Good),Yes,Salford 3,Irwell Riverside Ward,6m,M44 5DT
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0021,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M44 5FF
DUNEDIN DRIVE,UNASSIGNED,COL/028/015/0014,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,14 watts,Dimmed to 80%,Level 2,Yes,Salford 6,Irwell Riverside Ward,6m,M44 5EN
ENTICOTT ROAD,ROAD AT OR OUTSIDE 8,COL/081/023/0002,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,6m,M44 5HD
ALDER FOREST AVENUE,UNASSIGNED,COL/073/052/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Eccles,Winton Ward,6m,M44 5EA
CHAPEL ROAD,UNASSIGNED,SGN/078/027/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Irlam,Irlam Ward,,M44 5HB
CHAPEL ROAD,UNASSIGNED,SGN/015/043/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Swinton,Worsley Ward,,M44 5HA
GILLERS GREEN,ROAD BETWEEN 7/9,COL/003/044/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5DT
BRIDGEWATER STREET,UNASSIGNED,COL/008/037/0004,Lighting Column 6m,Concrete,SL - Column,Urbis,High P Sodium (T),70 watts,,Level 2,Yes,Worsley,Walkden North Ward,6m,M44 5DT
DUNLIN DRIVE,UNASSIGNED,COL/076/037/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,19 watts,Dimmed to 79%,Level 2,Yes,Irlam,Irlam Ward,6m,M44 5EN
CHELTENHAM CRESCENT,UNASSIGNED,COL/034/002/0004,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 7,Kersal Ward,6m,M44 5DY
CRESCENT,UNASSIGNED,SGN/200/023/0009-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AG
GILLERS GREEN,ROAD SIDE OF 8,COL/003/044/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,36 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5DX
CRESCENT,UNASSIGNED,SGN/200/023/0009-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AQ
HILL STREET,SIDE OF 29 MANLEY STREET,COL/035/022/0002,LED Lighting Column 6m,Concrete,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 3,Yes,Salford 7,Broughton Ward,6m,M44 5JS
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0020,LED Lighting Column 8m,Steel,SL - Column (LED),Thorn,LED Street Light,58 watts,Dimmed to 75%,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M44 5EH
ALDER FOREST AVENUE,UNASSIGNED,COL/073/052/0002,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Winton Ward,5m,M44 5EA
ENTICOTT ROAD,ROAD AT OR OUTSIDE 1,COL/081/023/0001,Lighting Column 6m,Steel,SL - Column,Urbis,High P Sodium (T+),70 watts,,Level 1 (Good),Yes,Irlam,Cadishead Ward,6m,M44 5AQ
CHAPEL ROAD,UNASSIGNED,COL/078/027/0001,Lighting Column 5m,Steel,SL - Column,Thorn,Low P Sodium,35 watts,,Level 1 (Good),Yes,Irlam,Irlam Ward,5m,M44 5HB
CHAPEL ROAD,UNASSIGNED,COL/015/043/0001,LED Lighting Column 6m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,28 watts,Dimmed to 76%,Level 3,Yes,Swinton,Worsley Ward,6m,M44 5HA
HILL STREET,UNASSIGNED,SGN/035/022/0001-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 7,Broughton Ward,,M44 5JR
BRIDGEWATER STREET,UNASSIGNED,SGN/008/037/0003-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Worsley,Walkden North Ward,,M44 5DT
CRESCENT,CENT.RES.NR.HULME PLACE,COL/200/023/0009,Lighting Column 12m,Steel,SL - Column,Urbis,High P Sodium (T+),250 watts,,,Yes,Salford 5,Irwell Riverside Ward,12m,M44 5AG
CHAPEL MEADOW,UNASSIGNED,COL/001/010/0004,LED Lighting Column 5m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5HA
CHELTENHAM CRESCENT,UNASSIGNED,COL/034/002/0003,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,44 watts,,Level 1 (Good),Yes,Salford 7,Kersal Ward,6m,M44 5DY
CRESCENT,UNASSIGNED,SGN/200/023/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AQ
GILLERS GREEN,ROAD AT OR OUTSIDE 4,COL/003/044/0002,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5DT
GOODIERS DRIVE,UNASSIGNED,COL/047/024/0019,Lighting Column 8m,Steel,SL - Column,Urbis,High P Sodium (T+),100 watts,,Level 1 (Good),Yes,Salford 5,Ordsall Ward,8m,M44 5FF
EAST LANCASHIRE ROAD,UNASSIGNED,COL/201/001/0110,Lighting Column 12m,Steel,SL - Column,Philips,Low P Sodium,180 watts,,Level 1 (Good),Yes,Swinton,Worsley Ward,12m,M44 5JS
ALDER FOREST AVENUE,UNASSIGNED,COL/073/052/0003,Lighting Column 5m,Concrete,SL - Column,Phosco,Low P Sodium,35 watts,,Level 2,Yes,Eccles,Winton Ward,5m,M44 5EA
HILL STREET,SIDE OF 30 WELLINGTON STREET WEST,COL/035/022/0001,LED Lighting Column 6m,Steel,SL - Column (LED),Thorn,LED Street Light,26 watts,Dimmed to 77%,Level 1 (Good),Yes,Salford 7,Broughton Ward,6m,M44 5JR
GILLERS GREEN,ROAD AT OR OUTSIDE 1,COL/003/044/0001,LED Lighting Column 6m,Steel,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 1 (Good),Yes,Worsley,Walkden South Ward,6m,M44 5DX
BRIDGEWATER STREET,OPPOSITE NAMEPLATE CLOSE,COL/072/025/0003,Lighting Column 6m,Steel,SL - Column,Urbis,Cosmopolis,60 watts,,Level 1 (Good),Yes,Eccles,Winton Ward,6m,M44 5DT
CHAPEL MEADOW,UNASSIGNED,COL/001/010/0003,LED Lighting Column 5m,Concrete,SL - Column (LED),LED Roadway Lighting,LED Street Light,22 watts,Dimmed to 76%,Level 2,Yes,Worsley,Boothstown and Ellenbrook Ward,5m,M44 5HB
BENTCLIFFE WAY,UNASSIGNED,SGN/070/001/0015-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M44 5EJ
HILEY ROAD,UNASSIGNED,COL/074/037/0009,Lighting Column 5m,Concrete,SL - Column,G.E.C.,Low P Sodium,35 watts,,Level 4,Yes,Eccles,Winton Ward,5m,M44 5JR
CRESCENT,UNASSIGNED,SGN/200/023/0008-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Salford 5,Irwell Riverside Ward,,M44 5AG
BENTCLIFFE WAY,UNASSIGNED,SGN/070/001/0014-1,Illuminated Traffic Sign,Unassigned,SL - Traffic Sign,Unassigned,Low P Mercury (FT) Single,8 watts,,,Yes,Eccles,Barton Ward,,M44 5EJ
BENTCLIFFE WAY,ROAD NEAR SILK STREET INCOMING LOOP FROM COL 13 - OUTGOING LOOP TO COL,COL/070/001/0015,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,10m,M44 5EJ
BENTCLIFFE WAY,ROAD NEAR PETROL STATION INCOMING LOOP FROM COL 23 - OUTGOING LOOP TO,COL/070/001/0021,Lighting Column 10m,Steel,SL - Column,Urbis,High P Sodium (T+),150 watts,,Level 1 (Good),Yes,Eccles,Barton Ward,10m,M44 5JG
